id,source_id,source_cutoff,question_text,trigger_span,answer_text,answer_span,answer_score,snippet_has_arg1_of,trigger_has_arg1_of,answer_has_arg2_of
cities.S8.Q1,cities,730,Which network? ,"[710, 728]",the network is just the community on a map ,"[857.0, 894.0]",3.0,"['EntRel:nan', 'Explicit:nan']",['EntRel:nan'],['Implicit:Comparison.Contrast']
cities.S10.Q1,cities,1034,What are African-American and Latino people concerned about?,"[961, 1013]",,,1.0,['Explicit:nan'],[],[]
cities.S12.Q1,cities,1209,why does it seem like a small town?,"[1158, 1207]",They don't venture outside of their part of Baltimore and explore the rest of the city and always see the same people ,"[1209.0, 1251.0]",4.0,"['Implicit:Contingency.Cause+Belief.Reason+Belief', 'Implicit:Expansion.Equivalence']","['Implicit:Contingency.Cause+Belief.Reason+Belief', 'Implicit:Expansion.Equivalence']","['Implicit:Contingency.Cause+Belief.Reason+Belief', 'Implicit:Expansion.Equivalence']"
cities.S16.Q1,cities,1509,who do they identify with living in DC/Maryland/Virginia? ,"[1439, 1497]",,,1.0,[],[],[]
cities.S20.Q1,cities,1666,Why do sports connect the two communities? ,"[1603, 1664]",They have of sports related things and it acts as a bridge to bring different parts of the cities together,"[1846.0, 1876.0]",3.0,['Implicit:Expansion.Instantiation'],['Implicit:Expansion.Instantiation'],"['NoRel:nan', 'Explicit:Expansion.Conjunction']"
cities.S1.Q1,cities,241,Is there more to map?,"[128, 168]",There's more to map.,"[304.0, 356.0]",3.0,"['Explicit:Expansion.Disjunction', 'Explicit:nan']",['Explicit:Expansion.Disjunction'],['Explicit:Comparison.Contrast']
cities.S59.Q1,cities,4472,How does this data display segregation?,"[4437, 4470]",,,1.0,"['Implicit:Expansion.Equivalence', 'Implicit:Expansion.Conjunction']","['Implicit:Expansion.Equivalence', 'Implicit:Expansion.Conjunction']",[]
cities.S61.Q1,cities,4707,Why did you choose to do it?,"[4472, 4507]",,,2.0,"['Implicit:Expansion.Conjunction', 'Explicit:Expansion.Conjunction']",[],[]
cities.S67.Q1,cities,4837,"What do you mean by ""shake up the seating chart""?","[4783, 4822]",looking only at race is a poor proxy for diversity,"[5022.0, 5068.0]",3.0,['Implicit:Expansion.Conjunction'],[],"['AltLex:Hypophora', 'Implicit:Expansion.Conjunction']"
cities.S19.Q1,cities,1553,Are they segregated by interests?,"[1381, 1428]",,,2.0,['Explicit:Comparison.Contrast'],['Explicit:Comparison.Contrast'],[]
