id,source_id,source_cutoff,question_text,trigger_span,answer_text,answer_span,answer_score,snippet_has_arg1_of,trigger_has_arg1_of,answer_has_arg2_of
homeless.S30.Q1,homeless,2776,What are the negative aspects of this lifestyle?,"[2728, 2774]","Dealing with addiction, severe weather, laws criminalizing homelessness","[2957.0, 3020.0]",3.0,['Implicit:Contingency.Cause.Reason'],['Implicit:Contingency.Cause.Reason'],"['Implicit:Expansion.Level-of-detail.Arg2-as-detail', 'Explicit:Expansion.Conjunction']"
homeless.S37.Q1,homeless,3022,What is an example of a specific law criminalizing homelessness?,"[2961, 3020]","Laws against sitting on sidewalks, sleeping in your car","[3082.0, 3122.0]",4.0,['Implicit:Expansion.Instantiation'],['Implicit:Expansion.Instantiation'],['Implicit:Expansion.Instantiation']
homeless.S6.Q1,homeless,465,Is your home life bad?,"[249, 268]",,,1.0,['Explicit:Expansion.Conjunction'],[],[]
homeless.S8.Q1,homeless,755,Do you want to live on the road?,"[495, 541]",She wanted to live and experience life on the road.,"[857.0, 882.0]",3.0,['Explicit:Comparison.Concession.Arg2-as-denier'],[],"['Explicit:Comparison.Concession.Arg2-as-denier', 'Explicit:Comparison.Similarity', 'Explicit:Expansion.Conjunction']"
homeless.S12.Q1,homeless,1102,Does she want to live a more primal life?,"[1038, 1086]",,,2.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],[]
homeless.S16.Q1,homeless,1360,Did she want to live in olden times?,"[1133, 1181]",,,2.0,[],[],[]
homeless.S20.Q1,homeless,1514,Does she want to experience life the way we used to?,"[1419, 1482]",,,2.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],[]
homeless.S10.Q1,homeless,1017,Did she want to live like the hobos and travelers?,"[936, 970]",,,2.0,[],[],[]
homeless.S14.Q1,homeless,1414,Are hobos still around?,"[1060, 1100]",Their predecessors still travel around,"[1414.0, 1453.0]",3.0,['Implicit:Expansion.Conjunction'],[],['Implicit:Expansion.Conjunction']
homeless.S21.Q1,homeless,1635,Where are they going?,"[1522, 1545]",Some of them are going no where in particular ,"[1865.0, 1903.0]",3.0,['Implicit:Expansion.Conjunction'],['Implicit:Expansion.Conjunction'],['EntRel:nan']
homeless.S23.Q1,homeless,1905,"How many ""Travelers"" are there?","[1758, 1772]",,,1.0,['Implicit:Comparison.Contrast'],['Implicit:Comparison.Contrast'],[]
homeless.S27.Q1,homeless,2370,What are their political views? ,"[2253, 2293]",,,1.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],[]
homeless.S29.Q1,homeless,2655,How do local communities feel about them scavenging?,"[2484, 2534]",There are many laws that can get them in trouble ,"[2957.0, 3020.0]",3.0,[],[],"['Implicit:Expansion.Level-of-detail.Arg2-as-detail', 'Explicit:Expansion.Conjunction']"
homeless.S35.Q1,homeless,2776,What are the dangers?,"[2739, 2774]",They can be injured or killed by the fright trains that they ride,"[2850.0, 2901.0]",4.0,['Implicit:Contingency.Cause.Reason'],['Implicit:Contingency.Cause.Reason'],"['Implicit:Expansion.Level-of-detail.Arg2-as-detail', 'Explicit:Expansion.Conjunction']"
homeless.S33.Q1,homeless,2831,What aspects are far from idyllic?,"[2723, 2774]",There is addiction and other things that could get you killed.,"[2831.0, 2892.0]",5.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],[],['Implicit:Expansion.Level-of-detail.Arg2-as-detail']
homeless.S38.Q1,homeless,3154,In which cities?,"[3045, 3099]",,,1.0,[],[],[]
homeless.S40.Q1,homeless,3233,How do you know?,"[3209, 3232]",They have seen people arrested or ticketed.,"[3241.0, 3300.0]",5.0,['Explicit:Contingency.Cause.Reason'],['Explicit:Contingency.Cause.Reason'],"['AltLex:Hypophora', 'Explicit:Contingency.Cause.Reason']"
homeless.S42.Q1,homeless,3483,Why would they choose that lifestyle?,"[3378, 3431]",People want to be free.,"[3702.0, 3709.0]",4.0,[],[],"['AltLex:Hypophora', 'Explicit:Comparison.Concession.Arg2-as-denier']"
homeless.S44.Q1,homeless,3702,What word?,"[3658, 3700]",they want to be free,"[3702.0, 3709.0]",5.0,[],[],"['AltLex:Hypophora', 'Explicit:Comparison.Concession.Arg2-as-denier']"
homeless.S46.Q1,homeless,3826,How can we be assured dignity?,"[3744, 3774]",,,1.0,[],[],[]
homeless.S48.Q1,homeless,3982,Why do they choose rebellion?,"[3971, 3980]",,,1.0,[],[],[]
homeless.S26.Q1,homeless,2208,Is it better to be homeless and a nomad vs staying in one place?,"[2199, 2206]",Eating out of garbage cans is freedom?,"[2484.0, 2534.0]",4.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],"['Implicit:Expansion.Level-of-detail.Arg2-as-detail', 'Explicit:Expansion.Manner.Arg2-as-manner']"
homeless.S28.Q1,homeless,2551,Is thre hope for these nomads to level up?,"[2370, 2389]",,,2.0,['Implicit:Expansion.Conjunction'],['Implicit:Expansion.Conjunction'],[]
homeless.S32.Q1,homeless,2709,Is music art better that a roof and security?,"[2575, 2622]",Mnay this are far from ideal,"[2723.0, 2774.0]",4.0,['Explicit:Comparison.Concession.Arg2-as-denier'],['Explicit:Comparison.Concession.Arg2-as-denier'],['Explicit:Comparison.Concession.Arg2-as-denier']
homeless.S36.Q1,homeless,2831,what does one lose,"[2776, 2807]",being homeless is considered criminal,"[2957.0, 3010.0]",4.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],"['Implicit:Expansion.Level-of-detail.Arg2-as-detail', 'Explicit:Expansion.Conjunction']"
homeless.S17.Q1,homeless,1514,Where can we see these color photographs?,"[1234, 1264]",,,1.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],[],[]
homeless.S22.Q1,homeless,1758,Are today's nomads there by choice or is the economy to blame?,"[1571, 1592]",What can be done to help them?,"[1905.0, 1947.0]",4.0,['EntRel:nan'],[],['Implicit:Comparison.Contrast']
homeless.S24.Q1,homeless,2013,Whst adventure do they find?,"[1868, 1903]",they feel liberated and free,"[2128.0, 2194.0]",3.0,[],[],['EntRel:nan']
homeless.S23.Q2,homeless,1905,How do they get food?,"[1801, 1841]",,,2.0,['Implicit:Comparison.Contrast'],['Implicit:Comparison.Contrast'],[]
