id,source_id,source_cutoff,question_text,trigger_span,answer_text,answer_span,answer_score,snippet_has_arg1_of,trigger_has_arg1_of,answer_has_arg2_of
investment.S169.Q1,investment,9525,What side is this person on?,"[9494, 9523]",planning for the future to reduce risks,"[9619.0, 9639.0]",4.0,['Explicit:Expansion.Conjunction'],[],['Explicit:Expansion.Conjunction']
investment.S33.Q1,investment,2415,What is the relevance of all these categories?,"[2372, 2413]",ESG is the measure of sustainability,"[2419.0, 2455.0]",4.0,['Explicit:Comparison.Concession.Arg2-as-denier'],['Explicit:Comparison.Concession.Arg2-as-denier'],['Explicit:Comparison.Concession.Arg2-as-denier']
investment.S38.Q1,investment,2730,How is ESG used?,"[2461, 2499]",Investors use ESG to determine financial matters,"[2736.0, 2776.0]",3.0,['Explicit:Contingency.Cause+SpeechAct.Result+SpeechAct'],[],"['Explicit:Contingency.Cause+SpeechAct.Result+SpeechAct', 'Explicit:Contingency.Condition+SpeechAct']"
investment.S40.Q1,investment,2907,How do CEOs factor in sustainability?,"[2892, 2905]",Sustainability leads to innovation and competitive edges,"[3024.0, 3069.0]",5.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],"['Implicit:Expansion.Level-of-detail.Arg2-as-detail', 'Explicit:Expansion.Manner.Arg2-as-manner']"
investment.S167.Q1,investment,9420,What do they both like?,"[9384, 9397]",the comic that is mentioned,"[9431.0, 9476.0]",3.0,['Explicit:Contingency.Cause.Reason'],[],"['Implicit:Expansion.Conjunction', 'Explicit:Contingency.Cause.Reason']"
investment.S138.Q1,investment,7771,Is the US the world's largest economy?,"[7695, 7729]",,,1.0,['NoRel:nan'],[],[]
investment.S140.Q1,investment,7942,What's ESG?,"[7921, 7924]",,,1.0,['Implicit:Comparison.Concession.Arg2-as-denier'],['Implicit:Comparison.Concession.Arg2-as-denier'],[]
investment.S144.Q1,investment,8234,Is the world in danger of these challenges?,"[8034, 8069]",,,2.0,['Implicit:Expansion.Conjunction'],[],[]
investment.S148.Q1,investment,8406,Is this risk actually overstated?,"[8335, 8387]",,,1.0,[],[],[]
investment.S171.Q1,investment,9708,How are they planning for the future?,"[9619, 9639]",,,1.0,[],[],[]
investment.S142.Q1,investment,8288,What is ESG?,"[7883, 7940]",,,1.0,['Implicit:Comparison.Contrast'],[],[]
investment.S149.Q1,investment,8460,"What kind of ""sustainability risk"" stuff?","[8330, 8360]",,,1.0,[],[],[]
investment.S165.Q1,investment,9384,What does the person like?,"[9365, 9382]",the comic,"[9420.0, 9454.0]",4.0,['Implicit:Comparison.Similarity'],['Implicit:Comparison.Similarity'],"['Implicit:Expansion.Conjunction', 'Explicit:Contingency.Cause.Reason']"
investment.S158.Q1,investment,9281,How is performance being maintained?,"[9246, 9279]",,,1.0,['NoRel:nan'],['NoRel:nan'],[]
investment.S44.Q1,investment,3261,How do CEOs view ESGs?,"[3146, 3178]",CEOs are using ESG for leverage,"[3269.0, 3309.0]",3.0,['Implicit:Expansion.Equivalence'],[],['Implicit:Expansion.Equivalence']
investment.S42.Q1,investment,3142,How does sustainability result in success?,"[2927, 2995]",They are leveraging ESGs,"[3322.0, 3387.0]",3.0,['Explicit:Comparison.Contrast'],[],['Explicit:Contingency.Cause+SpeechAct.Result+SpeechAct']
