id,source_id,source_cutoff,question_text,trigger_span,answer_text,answer_span,answer_score,snippet_has_arg1_of,trigger_has_arg1_of,answer_has_arg2_of
nearwin.S136.Q1,nearwin,9424,Was Elizabeth Murray a painter?,"[9320, 9372]",,,1.0,['NoRel:nan'],['NoRel:nan'],[]
nearwin.S138.Q1,nearwin,9553,What would you consider complete?,"[9498, 9518]",,,1.0,['NoRel:nan'],['NoRel:nan'],[]
nearwin.S13.Q1,nearwin,958,Why did the authors view about success and creativity change?,"[817, 858]",,,1.0,['Explicit:Comparison.Concession.Arg2-as-denier'],[],[]
nearwin.S33.Q1,nearwin,2408,What was she throwing?,"[2285, 2306]",she is an archer (using a bow and arrow),"[2555.0, 2562.0]",5.0,"['Explicit:Expansion.Conjunction', 'Implicit:Contingency.Cause.Result']",[],['Implicit:Expansion.Conjunction']
nearwin.S38.Q1,nearwin,2516,What activity was she doing?,"[2451, 2484]","at the end of practice, one of the archers...","[2555.0, 2562.0]",5.0,['Implicit:Expansion.Conjunction'],[],['Implicit:Expansion.Conjunction']
nearwin.S1.Q1,nearwin,177,Why does the author feel fortunate about that being their first job,"[51, 88]",The author learned a lot from the person they worked with,"[177.0, 203.0]",3.0,['Implicit:Contingency.Cause.Reason'],['Implicit:Contingency.Cause.Reason'],['Implicit:Contingency.Cause.Reason']
nearwin.S5.Q1,nearwin,344,Why did the author love looking at paintings from the 1970's? ,"[295, 342]",,,2.0,['Implicit:Contingency.Cause.Reason'],['Implicit:Contingency.Cause.Reason'],[]
nearwin.S7.Q1,nearwin,485,What did the painter think of her early works?,"[446, 483]",The painter didn't think they exactly what she wanted them to be ,"[582.0, 612.0]",4.0,['EntRel:nan'],['EntRel:nan'],['EntRel:nan']
nearwin.S9.Q1,nearwin,645,what did she want them to be?,"[617, 643]",,,1.0,['Explicit:Expansion.Instantiation'],['Explicit:Expansion.Instantiation'],[]
nearwin.S11.Q1,nearwin,801,which painting did the neighbor take out of the trash,"[748, 789]",,,1.0,['Implicit:Contingency.Cause.Result'],['Implicit:Contingency.Cause.Result'],[]
nearwin.S46.Q1,nearwin,3314,What is excellence then?,"[3262, 3304]",,,1.0,['Implicit:Comparison.Similarity'],['Implicit:Comparison.Similarity'],[]
nearwin.S53.Q1,nearwin,3497,But what's the point of the constant pursuit if you're not committed to some sort of goal,"[3470, 3495]",,,2.0,['EntRel:nan'],['EntRel:nan'],[]
nearwin.S55.Q1,nearwin,3712,Isn't this just because difference people can place different values on things?,"[3658, 3710]",,,1.0,[],[],[]
nearwin.S57.Q1,nearwin,3855,What was her admission?,"[3812, 3853]",,,1.0,['Implicit:Comparison.Similarity'],['Implicit:Comparison.Similarity'],[]
nearwin.S59.Q1,nearwin,4109,Why did he only sign 10 percent of his paintings?,"[4068, 4107]",Perhaps he wasn't satisfied with his works even when other people were,"[4246.0, 4306.0]",3.0,['EntRel:nan'],['EntRel:nan'],"['NoRel:nan', 'Explicit:Comparison.Contrast']"
nearwin.S19.Q1,nearwin,1070,what gets us to convert success into mastery?,"[981, 1026]","The author thinks that it happens when ""we"" start to see the value of almost getting it right","[1092.0, 1132.0]",4.0,['Implicit:Expansion.Conjunction'],[],['Implicit:Expansion.Conjunction']
nearwin.S29.Q1,nearwin,2107,Did the archer hit the ten ring?,"[2063, 2105]",twice,"[2346.0, 2354.0]",5.0,['EntRel:nan'],['EntRel:nan'],"['NoRel:nan', 'Explicit:Expansion.Conjunction', 'Explicit:Temporal.Asynchronous.Precedence']"
nearwin.S35.Q1,nearwin,2285,Did the archer hit the tiny ring?,"[2159, 2193]",twice,"[2346.0, 2354.0]",5.0,['NoRel:nan'],[],"['NoRel:nan', 'Explicit:Expansion.Conjunction', 'Explicit:Temporal.Asynchronous.Precedence']"
nearwin.S110.Q1,nearwin,8014,What do you know?,"[7971, 8012]",We thrive when we focus on our successful products,"[8027.0, 8073.0]",3.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],['Implicit:Expansion.Level-of-detail.Arg2-as-detail']
nearwin.S117.Q1,nearwin,8255,What do the Navajo have to do with anything?,"[8149, 8163]",Gives companies a way out but also a reason to keep working,"[8322.0, 8359.0]",4.0,['EntRel:nan'],['EntRel:nan'],"['EntRel:nan', 'Implicit:Contingency.Purpose.Arg2-as-goal']"
nearwin.S119.Q1,nearwin,8404,What else does it do?,"[8370, 8402]",,,2.0,['Implicit:Contingency.Cause.Reason'],['Implicit:Contingency.Cause.Reason'],[]
nearwin.S121.Q1,nearwin,8479,Why are masters experts?,"[8436, 8477]",Masters are experts because they realize there is no end,"[8508.0, 8536.0]",4.0,['Implicit:Expansion.Substitution.Arg2-as-subst'],['Implicit:Expansion.Substitution.Arg2-as-subst'],"['Implicit:Expansion.Substitution.Arg2-as-subst', 'Explicit:Contingency.Cause.Reason']"
nearwin.S123.Q1,nearwin,8538,What comes afterward?,"[8521, 8536]",,,1.0,['EntRel:nan'],['EntRel:nan'],[]
nearwin.S125.Q1,nearwin,8749,What does this story have to do with anything?,"[8703, 8747]",You keep building off ideas,"[9083.0, 9118.0]",3.0,[],[],['NoRel:nan']
nearwin.S131.Q1,nearwin,9040,What does this story have to do with anything?,"[8974, 9023]",You must continue to build yourself,"[9083.0, 9118.0]",3.0,[],[],['NoRel:nan']
nearwin.S134.Q1,nearwin,9190,What do you mean by former self?,"[9120, 9156]",,,1.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],[],[]
